Semester,Teaching unit,Course,Credits
24-25-S1,Mathématiques et statistique,Mathématiques,9
24-25-S1,Mathématiques et statistique,Probabilités,9
24-25-S1,Mathématiques et statistique,Statistique descriptive 1,9
24-25-S1,Mathématiques et statistique,Statistique descriptive 2,9
24-25-S1,Economie 1,Histoire de la pensée et des faits économiques,9
24-25-S1,Economie 1,Economie descriptive,9
24-25-S1,Economie 1,Comptabilité d'entreprise,9
24-25-S1,Economie 1,Comptabilité nationale,9
24-25-S1,Informatique 1,Environnement bureautique et TIC,5
24-25-S1,Informatique 1,Excel,5
24-25-S1,Informatique 1,Base de données 1,5
24-25-S1,Informatique 1,Algorithmique et programmation 1,5
24-25-S1,Langue et expression 1,Anglais 1,3
24-25-S1,Langue et expression 1,Techniques d’expression 1,3
24-25-S1,Langue et expression 1,Techniques d’expression 1,3
24-25-S2,Economie 2,Dossiers et exposés d'économie,6
24-25-S2,Economie 2,Analyse micro-économique,6
24-25-S2,Economie 2,Analyse macro-économique,6
24-25-S2,Statistique 1,Analyse multidimensionnelle des données,7
24-25-S2,Statistique 1,"Introduction aux logiciels statistiques /Logiciels de saisie (CSPRO, ODK, Survey Solutions)",7
24-25-S2,Statistique 1,"Ethique, qualité et sécurité des données",7
24-25-S2,Statistique 1,Organisationd'un service Statistique,7
24-25-S2,Pratique des enquêtes et management statistique,Pratique des enquêtes (méthodologie et collecte),7
24-25-S2,Pratique des enquêtes et management statistique,Pratique des enquêtes qualitatives,7
24-25-S2,Pratique des enquêtes et management statistique,Archivage et diffusion des données d'enquête,7
24-25-S2,Sciences humaines et sociales 1,Démographie,4
24-25-S2,Sciences humaines et sociales 1,Sociologie,4
24-25-S2,Informatique 2,Algorithmique et programmation 2,4
24-25-S2,Informatique 2,Base de données 2,4
24-25-S2,Langue et expression 2,Techniques d’expression,3
24-25-S2,Langue et expression 2,Anglais,3